mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_neighbors,param_model__p,param_model__weights,params,split0_test_f1_micro,split1_test_f1_micro,split2_test_f1_micro,split3_test_f1_micro,split4_test_f1_micro,mean_test_f1_micro,std_test_f1_micro,rank_test_f1_micro,split0_train_f1_micro,split1_train_f1_micro,split2_train_f1_micro,split3_train_f1_micro,split4_train_f1_micro,mean_train_f1_micro,std_train_f1_micro,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_train_f1_macro,split1_train_f1_macro,split2_train_f1_macro,split3_train_f1_macro,split4_train_f1_macro,mean_train_f1_macro,std_train_f1_macro,feature_group,genre_labels
0.3900132179260254,0.16260826893737557,15.440381050109863,1.3894606309232331,10,1,distance,"{'model__n_neighbors': 10, 'model__p': 1, 'model__weights': 'distance'}",0.49905897114178166,0.4814930991217064,0.486198243412798,0.49435382685069007,0.48964868255959854,0.4901505646173149,0.006129462578707259,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.32227297888215733,0.32982096173864434,0.32440958311575147,0.3459113916794653,0.33346934658872585,0.3311768524009488,0.00835793651634507,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,combined + audio,"pop,sertanejo,rock,alternativo,mpb,samba,bossanova,indie,pagode,gospel"
0.03694314956665039,0.0107331997637513,2.0934762001037597,0.33988157642071504,10,1,distance,"{'model__n_neighbors': 10, 'model__p': 1, 'model__weights': 'distance'}",0.48776662484316186,0.49435382685069007,0.48180677540777916,0.48557089084065247,0.48306148055207027,0.4865119196988708,0.004427171584536343,1,0.999607904642409,0.9996863237139272,0.9996863237139272,0.999607904642409,0.999607904642409,0.9996392722710162,3.841734226447076e-05,0.3375258627041065,0.3561975847646986,0.3262566161416206,0.34808229532345736,0.34433166466226195,0.34247880471922904,0.010106712222169979,1,0.9989308629068869,0.9991604099085603,0.9990452102324069,0.9989710103373849,0.9995765726407297,0.9991368132051937,0.00023334197501624247,audio,"pop,sertanejo,rock,alternativo,mpb,samba,bossanova,indie,pagode,gospel"
0.39270930290222167,0.06269020060176758,15.07017903327942,1.1027306987626708,5,1,distance,"{'model__n_neighbors': 5, 'model__p': 1, 'model__weights': 'distance'}",0.47271016311166875,0.4623588456712672,0.469573400250941,0.46612296110414053,0.4573400250941029,0.46562107904642414,0.005391583488046525,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3277845796307918,0.32549323458662915,0.3387176715101693,0.330458592146749,0.33743214507241587,0.331977244589351,0.005236724639821761,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,combined + audio,"pop,sertanejo,rock,alternativo,mpb,samba,bossanova,indie,pagode,gospel"
0.40205821990966795,0.13210930673491403,14.042558813095093,1.450405203533136,10,1,distance,"{'model__n_neighbors': 10, 'model__p': 1, 'model__weights': 'distance'}",0.4168757841907152,0.3968005018820577,0.4015056461731493,0.40244667503136755,0.40715181932245914,0.40495608531994975,0.006806124895917462,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.27170288258295056,0.26688770935120754,0.2786610995862341,0.2685221192679078,0.28665446397447647,0.2744856549525553,0.00730137806424303,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,combined,"pop,sertanejo,rock,alternativo,mpb,samba,bossanova,indie,pagode,gospel"
0.1544102668762207,0.04733219501228626,5.736577701568604,1.4467777009889464,10,1,distance,"{'model__n_neighbors': 10, 'model__p': 1, 'model__weights': 'distance'}",0.328732747804266,0.3277917189460477,0.30959849435382686,0.33531994981179425,0.3127352572145546,0.32283563362609785,0.009924075248825692,1,0.9978826850690088,0.998745294855709,0.9981963613550816,0.9985884567126725,0.9986668757841907,0.9984159347553325,0.0003267356752822923,0.20194183909567026,0.21189388826854927,0.20955295603740418,0.21748443135420162,0.21829221994928855,0.21183306694102275,0.0059447047120961775,1,0.9976070409666523,0.9984046724848223,0.9979951041352356,0.9983828293808653,0.9986590019495297,0.998209729783421,0.0003685402516475213,statistical,"pop,sertanejo,rock,alternativo,mpb,samba,bossanova,indie,pagode,gospel"
0.07952227592468261,0.012383675328832017,2.4388749599456787,0.44529409330637804,10,1,distance,"{'model__n_neighbors': 10, 'model__p': 1, 'model__weights': 'distance'}",0.31555834378920955,0.3240276035131744,0.3252823086574655,0.3161856963613551,0.3271643663739021,0.3216436637390213,0.004821236149771849,1,0.9889429109159348,0.9889429109159348,0.9889429109159348,0.9888644918444166,0.9901976160602258,0.9891781681304893,0.0005106279986229317,0.1892859252654023,0.20547437401974347,0.21280617215425393,0.20321767134402666,0.2219202529760525,0.20654087915189576,0.010823064377381857,2,0.9874472064211203,0.9876642117615452,0.9884862244118924,0.987126879636245,0.9889263793340277,0.9879301803129662,0.0006709534346413416,rid,"pop,sertanejo,rock,alternativo,mpb,samba,bossanova,indie,pagode,gospel"
0.047449684143066405,0.019555501980423703,2.444166135787964,0.6556912703973328,10,2,distance,"{'model__n_neighbors': 10, 'model__p': 2, 'model__weights': 'distance'}",0.31179422835633624,0.3193224592220828,0.31681304893350065,0.3224592220828105,0.33030112923462984,0.320138017565872,0.006164676786217433,2,0.9889429109159348,0.9889429109159348,0.9889429109159348,0.9888644918444166,0.9901976160602258,0.9891781681304893,0.0005106279986229317,0.19138138211171424,0.19641113463476256,0.20879799212209704,0.21131220350060986,0.22785802766687602,0.20715214800721196,0.012750174447723235,1,0.9874472064211203,0.9876642117615452,0.9884862244118924,0.987126879636245,0.9889263793340277,0.9879301803129662,0.0006709534346413416,rid,"pop,sertanejo,rock,alternativo,mpb,samba,bossanova,indie,pagode,gospel"
0.07426314353942871,0.001578810656403018,2.542761135101318,0.6309472885361197,10,1,distance,"{'model__n_neighbors': 10, 'model__p': 1, 'model__weights': 'distance'}",0.27478042659974905,0.27258469259723966,0.26756587202007526,0.27383939774153077,0.2882685069008783,0.27540777917189463,0.006895172729753624,1,0.9971769134253451,0.9978826850690088,0.9972553324968633,0.9974121706398996,0.997961104140527,0.9975376411543287,0.00032371027980786156,0.16192252350192088,0.1744917215083972,0.1745276504428271,0.17702139225468266,0.20169878062870086,0.17793241366730575,0.013003211271165098,3,0.9970512102538761,0.9976124038316551,0.9970014269616604,0.997159647229289,0.9980938474654659,0.9973837071483892,0.00041557108086297473,postags,"pop,sertanejo,rock,alternativo,mpb,samba,bossanova,indie,pagode,gospel"
0.07455658912658691,0.02326599571188208,3.0404101848602294,0.7776449340833965,4,1,distance,"{'model__n_neighbors': 4, 'model__p': 1, 'model__weights': 'distance'}",0.24686323713927227,0.25564617314930993,0.24278544542032623,0.2506273525721455,0.2606649937264743,0.2513174404015056,0.006312301745598628,5,0.9971769134253451,0.9978826850690088,0.9972553324968633,0.9974121706398996,0.997961104140527,0.9975376411543287,0.00032371027980786156,0.17057150892564296,0.18395489793706518,0.17289103584486895,0.1770492440668238,0.19334596611388075,0.1795625305776563,0.008257601438715362,1,0.9970512102538761,0.9976124038316551,0.9970014269616604,0.997159647229289,0.9980938474654659,0.9973837071483892,0.00041557108086297473,postags,"pop,sertanejo,rock,alternativo,mpb,samba,bossanova,indie,pagode,gospel"
0.049536609649658205,0.015897821889768963,1.0061473369598388,0.3092109866597854,10,2,distance,"{'model__n_neighbors': 10, 'model__p': 2, 'model__weights': 'distance'}",0.24215809284818068,0.24780426599749059,0.2565872020075282,0.24623588456712672,0.24717691342534504,0.24799247176913428,0.004726426148516269,1,0.9389899623588457,0.9382057716436637,0.9411856963613551,0.9407151819322459,0.9382057716436637,0.9394604767879547,0.001258619990447868,0.15075102905036936,0.15696672779971232,0.17244840701321623,0.16412768658888713,0.16845923198336932,0.16255061648711086,0.00782016906515158,1,0.9343487032186779,0.9361020056695836,0.9355089415227011,0.9376508549702993,0.9279273681814917,0.9343075747125507,0.003363019907372687,pronouns,"pop,sertanejo,rock,alternativo,mpb,samba,bossanova,indie,pagode,gospel"
0.030647468566894532,0.011663578393433358,0.3057901382446289,0.053028670819353065,10,1,distance,"{'model__n_neighbors': 10, 'model__p': 1, 'model__weights': 'distance'}",0.24749058971141782,0.23557089084065244,0.2314930991217064,0.243099121706399,0.24247176913425345,0.2400250941028858,0.005723711281283336,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.13583937430188323,0.12967602847397441,0.12496337564525124,0.1464773224557694,0.1468173280034537,0.13675468577606636,0.0087836963915905,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,statistical_time,"pop,sertanejo,rock,alternativo,mpb,samba,bossanova,indie,pagode,gospel"
0.009213542938232422,0.00041862792865092767,0.1183311939239502,0.008758802068269607,10,1,distance,"{'model__n_neighbors': 10, 'model__p': 1, 'model__weights': 'distance'}",0.22710163111668757,0.22082810539523212,0.22208281053952322,0.2236511919698871,0.22835633626097868,0.22440401505646174,0.002885821831869509,1,0.338064617314931,0.34190715181932246,0.3394761606022585,0.33500627352572143,0.3328889585947302,0.33746863237139274,0.0031975755042157705,0.10733713723938824,0.11137966223377911,0.11843269686976472,0.11302797649694907,0.11426639796109772,0.11288877416019578,0.003626303763999087,3,0.2498272774438556,0.2572223327181461,0.24661001022375612,0.24250604478840376,0.25102510637104924,0.24943815430904212,0.004884993521780339,afinn,"pop,sertanejo,rock,alternativo,mpb,samba,bossanova,indie,pagode,gospel"
