feature_group,params,dense_sizes,dropout_rate,mean_accuracy,mean_test_f1_micro,mean_test_f1_macro,epochs,batch_size,genre_labels
combined + audio,"{'dense_sizes': (64, 64), 'dropout_rate': 0.1, 'epochs': 50, 'batch_size': 32}","(64, 64)",0.1,0.5553826850690088,0.5553826850690088,0.382097145793097,50,32,"pop,sertanejo,rock,alternativo,mpb,samba,bossanova,indie,pagode,gospel"
audio,"{'dense_sizes': (64, 64), 'dropout_rate': 0.1, 'epochs': 50, 'batch_size': 32}","(64, 64)",0.1,0.5058971141781681,0.5058971141781681,0.3347170630777606,50,32,"pop,sertanejo,rock,alternativo,mpb,samba,bossanova,indie,pagode,gospel"
combined,"{'dense_sizes': (64, 64), 'dropout_rate': 0.1, 'epochs': 50, 'batch_size': 32}","(64, 64)",0.1,0.3944792973651192,0.3944792973651192,0.21432684484434422,50,32,"pop,sertanejo,rock,alternativo,mpb,samba,bossanova,indie,pagode,gospel"
statistical,"{'dense_sizes': (64, 64), 'dropout_rate': 0.1, 'epochs': 50, 'batch_size': 32}","(64, 64)",0.1,0.37691342534504396,0.37691342534504396,0.2059511961726125,50,32,"pop,sertanejo,rock,alternativo,mpb,samba,bossanova,indie,pagode,gospel"
combined (tf-idf + lda) + audio,"{'dense_sizes': (32, 32), 'dropout_rate': 0.1, 'epochs': 50, 'batch_size': 32}","(32, 32)",0.1,0.3444918444165621,0.3444918444165621,0.2213328492299483,50,32,"pop,sertanejo,rock,alternativo,mpb,samba,bossanova,indie,pagode,gospel"
statistical_time,"{'dense_sizes': (64, 64), 'dropout_rate': 0.1, 'epochs': 50, 'batch_size': 32}","(64, 64)",0.1,0.2874278544542033,0.2874278544542033,0.1160171186932039,50,32,"pop,sertanejo,rock,alternativo,mpb,samba,bossanova,indie,pagode,gospel"
explicitness,"{'dense_sizes': (64, 64), 'dropout_rate': 0.1, 'epochs': 50, 'batch_size': 32}","(64, 64)",0.1,0.2554077791718946,0.2554077791718946,0.04507539453324999,50,32,"pop,sertanejo,rock,alternativo,mpb,samba,bossanova,indie,pagode,gospel"
lda,"{'dense_sizes': (64, 64), 'dropout_rate': 0.1, 'epochs': 50, 'batch_size': 32}","(64, 64)",0.1,0.25069008782936014,0.25069008782936014,0.041326952705238854,50,32,"pop,sertanejo,rock,alternativo,mpb,samba,bossanova,indie,pagode,gospel"
combined (tf-idf + lda),"{'dense_sizes': (64, 64), 'dropout_rate': 0.1, 'epochs': 50, 'batch_size': 32}","(64, 64)",0.1,0.2213801756587202,0.2213801756587202,0.13745863638689873,50,32,"pop,sertanejo,rock,alternativo,mpb,samba,bossanova,indie,pagode,gospel"
tf-idf,"{'dense_sizes': (64, 64), 'dropout_rate': 0.1, 'epochs': 50, 'batch_size': 32}","(64, 64)",0.1,0.17505646173149308,0.17505646173149308,0.10692960767433268,50,32,"pop,sertanejo,rock,alternativo,mpb,samba,bossanova,indie,pagode,gospel"
