feature_group,params,dense_sizes,dropout_rate,mean_accuracy,mean_test_f1_micro,mean_test_f1_macro,epochs,batch_size,genre_labels
combined + audio,"{'dense_sizes': (64, 64), 'dropout_rate': 0.1, 'epochs': 50, 'batch_size': 32}","(64, 64)",0.1,0.5829861982434128,0.5829861982434128,0.41129317491075124,50,32,"pop,sertanejo,rock,alternativo,mpb,samba,bossanova,indie,pagode,gospel"
audio,"{'dense_sizes': (64, 64), 'dropout_rate': 0.1, 'epochs': 50, 'batch_size': 32}","(64, 64)",0.1,0.5067503136762861,0.5067503136762861,0.33282033375264064,50,32,"pop,sertanejo,rock,alternativo,mpb,samba,bossanova,indie,pagode,gospel"
combined,"{'dense_sizes': (64, 64), 'dropout_rate': 0.1, 'epochs': 50, 'batch_size': 32}","(64, 64)",0.1,0.4681555834378921,0.4681555834378921,0.29400230231521485,50,32,"pop,sertanejo,rock,alternativo,mpb,samba,bossanova,indie,pagode,gospel"
statistical,"{'dense_sizes': (64, 64), 'dropout_rate': 0.1, 'epochs': 50, 'batch_size': 32}","(64, 64)",0.1,0.3763111668757842,0.3763111668757842,0.199477469301751,50,32,"pop,sertanejo,rock,alternativo,mpb,samba,bossanova,indie,pagode,gospel"
rid,"{'dense_sizes': (32, 32), 'dropout_rate': 0.1, 'epochs': 50, 'batch_size': 32}","(32, 32)",0.1,0.35126725219573396,0.35126725219573396,0.165049847301802,50,32,"pop,sertanejo,rock,alternativo,mpb,samba,bossanova,indie,pagode,gospel"
postags,"{'dense_sizes': (64, 64), 'dropout_rate': 0.1, 'epochs': 50, 'batch_size': 32}","(64, 64)",0.1,0.3122208281053952,0.3122208281053952,0.14442993429460554,50,32,"pop,sertanejo,rock,alternativo,mpb,samba,bossanova,indie,pagode,gospel"
pronouns,"{'dense_sizes': (64, 64), 'dropout_rate': 0.1, 'epochs': 50, 'batch_size': 32}","(64, 64)",0.1,0.2973149309912171,0.2973149309912171,0.1176352825005504,50,32,"pop,sertanejo,rock,alternativo,mpb,samba,bossanova,indie,pagode,gospel"
statistical_time,"{'dense_sizes': (32, 32), 'dropout_rate': 0.1, 'epochs': 50, 'batch_size': 32}","(32, 32)",0.1,0.2873274780426599,0.2873274780426599,0.11330258227515559,50,32,"pop,sertanejo,rock,alternativo,mpb,samba,bossanova,indie,pagode,gospel"
vader,"{'dense_sizes': (64, 64), 'dropout_rate': 0.1, 'epochs': 50, 'batch_size': 32}","(64, 64)",0.1,0.2694604767879548,0.2694604767879548,0.07674130226052281,50,32,"pop,sertanejo,rock,alternativo,mpb,samba,bossanova,indie,pagode,gospel"
explicitness,"{'dense_sizes': (64, 64), 'dropout_rate': 0.1, 'epochs': 50, 'batch_size': 32}","(64, 64)",0.1,0.2554077791718946,0.2554077791718946,0.04507539453324999,50,32,"pop,sertanejo,rock,alternativo,mpb,samba,bossanova,indie,pagode,gospel"
lemma,"{'dense_sizes': (32, 32), 'dropout_rate': 0.1, 'epochs': 50, 'batch_size': 32}","(32, 32)",0.1,0.2544040150564617,0.2544040150564617,0.07325205257255388,50,32,"pop,sertanejo,rock,alternativo,mpb,samba,bossanova,indie,pagode,gospel"
afinn,"{'dense_sizes': (64, 64), 'dropout_rate': 0.1, 'epochs': 50, 'batch_size': 32}","(64, 64)",0.1,0.25244667503136764,0.25244667503136764,0.07446902805635805,50,32,"pop,sertanejo,rock,alternativo,mpb,samba,bossanova,indie,pagode,gospel"
