feature_group,params,dense_sizes,dropout_rate,mean_accuracy,mean_test_f1_micro,mean_test_f1_macro,epochs,batch_size,genre_labels
combined + audio,"{'dense_sizes': (64, 64), 'dropout_rate': 0.1, 'epochs': 50, 'batch_size': 32}","(64, 64)",0.1,0.6864634492283374,0.6864634492283374,0.6115381880133822,50,32,"mpb,sertanejo,gospel,samba,pagode"
audio,"{'dense_sizes': (32, 32), 'dropout_rate': 0.1, 'epochs': 50, 'batch_size': 32}","(32, 32)",0.1,0.6045558317883121,0.6045558317883121,0.5138425091312258,50,32,"mpb,sertanejo,gospel,samba,pagode"
combined,"{'dense_sizes': (32, 32), 'dropout_rate': 0.1, 'epochs': 50, 'batch_size': 32}","(32, 32)",0.1,0.5973408449597715,0.5973408449597715,0.46191523586077465,50,32,"mpb,sertanejo,gospel,samba,pagode"
statistical,"{'dense_sizes': (64, 64), 'dropout_rate': 0.1, 'epochs': 50, 'batch_size': 32}","(64, 64)",0.1,0.5151661157262739,0.5151661157262739,0.35738234558914905,50,32,"mpb,sertanejo,gospel,samba,pagode"
rid,"{'dense_sizes': (32, 32), 'dropout_rate': 0.1, 'epochs': 50, 'batch_size': 32}","(32, 32)",0.1,0.4840991706098465,0.4840991706098465,0.2907888404920601,50,32,"mpb,sertanejo,gospel,samba,pagode"
pronouns,"{'dense_sizes': (32, 32), 'dropout_rate': 0.1, 'epochs': 50, 'batch_size': 32}","(32, 32)",0.1,0.4492920131386506,0.4492920131386506,0.24392404878599808,50,32,"mpb,sertanejo,gospel,samba,pagode"
postags,"{'dense_sizes': (32, 32), 'dropout_rate': 0.1, 'epochs': 50, 'batch_size': 32}","(32, 32)",0.1,0.4491571627495999,0.4491571627495999,0.24105716156400842,50,32,"mpb,sertanejo,gospel,samba,pagode"
statistical_time,"{'dense_sizes': (64, 64), 'dropout_rate': 0.1, 'epochs': 50, 'batch_size': 32}","(64, 64)",0.1,0.43853493823597745,0.43853493823597745,0.2134044749358098,50,32,"mpb,sertanejo,gospel,samba,pagode"
afinn,"{'dense_sizes': (32, 32), 'dropout_rate': 0.1, 'epochs': 50, 'batch_size': 32}","(32, 32)",0.1,0.4152859901783744,0.4152859901783744,0.12057608838555986,50,32,"mpb,sertanejo,gospel,samba,pagode"
vader,"{'dense_sizes': (32, 32), 'dropout_rate': 0.1, 'epochs': 50, 'batch_size': 32}","(32, 32)",0.1,0.4152191899111733,0.4152191899111733,0.11734886337779867,50,32,"mpb,sertanejo,gospel,samba,pagode"
explicitness,"{'dense_sizes': (32, 32), 'dropout_rate': 0.1, 'epochs': 50, 'batch_size': 32}","(32, 32)",0.1,0.4152191899111733,0.4152191899111733,0.11734886337779867,50,32,"mpb,sertanejo,gospel,samba,pagode"
lemma,"{'dense_sizes': (32, 32), 'dropout_rate': 0.1, 'epochs': 50, 'batch_size': 32}","(32, 32)",0.1,0.41481834367030085,0.41481834367030085,0.11807541909259071,50,32,"mpb,sertanejo,gospel,samba,pagode"
