,token_count,unique_token_ratio,unique_bigram_ratio,unique_trigram_ratio,avg_token_length,unique_tokens_per_line,average_tokens_per_line,repeat_word_ratio,line_count,unique_line_count,blank_line_count,blank_line_ratio,repeat_line_ratio,digits,exclamation_marks,question_marks,colons,semicolons,quotes,commas,dots,hyphens,stopwords_ratio,stopwords_per_line,hapax_legomenon_ratio,dis_legomenon_ratio,tris_legomenon_ratio,syllables_per_line,syllables_per_word,syllable_variation,words_per_minute,chars_per_minute,lines_per_minute,explicit,i,you,it,we,they,i_vs_you,excentricity,verbs,participles,nouns,adjectives,adverbs,denotatives_particle,pronouns,conjunctions,interjectios,prepositions,foreignisms,wh_questions,special_characters,lemmas_ratio,uncommon_words_ratio,afinn_score,compound,primary_sensation,primary_defensive_voyage,primary_defensive_symbol_random_movement,primary_regressive_cognition,primary_icarian_imagery,secondary_instrumental_behavior,secondary_restraint,secondary_temporal_references,emotions_positive_affect,emotions_anxiety,emotions_sadness,emotions_affection,emotions_aggression,emotions_expressive_behavior,emotions_glory,tempo,energy,liveness,speechiness,acousticness,danceability,loudness,valence,instrumentalness,duration_ms
token_count,1.0,-0.6207106677567304,-0.5245108777098461,-0.5250544188695475,-0.10150513015934369,-0.22921583621516434,0.16641321780291968,0.6207106677567297,0.8602700810315829,0.6494243334764218,0.561298572739405,0.1758310831832562,0.49237663005161375,0.06274643632938189,0.16414425773091093,0.18478298245523192,0.13575201013082347,0.02467352709850755,0.15971434516397853,0.5737966607717473,0.11106849167669004,0.15733747921277466,0.04651843733428292,0.16199991378065168,-0.5278298587046271,-0.153275764269408,-0.11256320175954997,0.1571200673018772,-0.0575897619406641,-0.007992948192130757,0.8348033030714965,0.8303104018096219,0.6881496883000301,0.04914286042190692,-0.027066172575592358,-0.027557377391223672,0.03138051210152969,-0.05309278416313822,0.022711177325182356,0.006489034340497492,-0.019142399671747582,0.01776410079271331,-5.309021394712878e-05,-0.04476395620499251,-0.01882315116950667,-0.020553864076977905,0.008010190585696287,-0.052003675215591925,0.012766657147320157,0.028925195147186625,-0.042578788609847616,0.046581797950952075,-0.0034793152853540934,0.15550293724892922,-0.6374277861417403,0.025877025655977548,-0.021861015633434084,-0.04342754357539423,-0.028867101561194933,-0.0011046533933042936,-0.002204999075740593,-0.020968854852603754,-0.006894032187145181,0.05794098121583043,0.0608360836180267,0.040047721939834253,-0.038066293089263924,0.018343841410046767,-0.06425756950778065,-0.07610488796545341,0.04911480041322659,-0.004297733138414629,0.03929757989911895,0.04016317847810256,0.19419699903114715,0.0017452308672840644,0.22626706117094803,-0.09300639572570525,0.12696075860156902,0.19895911704057928,0.11703445799627062,-0.06241499758174921,0.193018854903259
unique_token_ratio,-0.6207106677567304,1.0,0.9569821493606078,0.932918686940496,0.23901016781455772,0.5188236448503265,-0.05008160837692987,-1.000000000000001,-0.6342364333523083,-0.09383298793472479,-0.5349753856136975,-0.2910319177700875,-0.8597856676003511,-0.041078126206959484,-0.10231209236330199,-0.12166741274315555,-0.03077434104221572,0.009990568441362743,-0.06436855306008202,-0.3685471118041816,-0.05208548172213142,-0.09398320520683337,-0.10426652761600352,-0.07955278485699414,0.9631294747953288,-0.03442290754011322,0.04360071277878493,-0.0059212976660847644,0.18046679621836317,0.11461317991105395,-0.5847307838898661,-0.5623079947534343,-0.5772284578917387,-0.011008499454768561,-0.07580809752670548,-0.05411392671786573,-0.028988970266983147,0.06162536346160796,-0.008726763107263393,-0.0038084874858122456,0.007172985810504114,-0.07531880742584099,0.07571412383456169,0.10706104338613538,0.08267736132249916,-0.015522626534033017,-0.017717102413964955,0.04938047048365227,0.02909517270017189,-0.08405443681855244,0.06559877129700967,-0.026840942405050066,-0.013069875460207454,-0.18130989694831062,0.991185997341751,-0.014502701063865446,-0.015838842911535905,-0.008233753984948848,0.030757235539669973,0.018376810211135117,-0.015574961015234024,0.02977828352835899,0.011306694733940807,-0.028785360118121384,-0.028390632082208815,-0.0030863408972586796,0.019738958187744602,-0.008699586125483175,0.027082585046769234,-0.03310691883195556,0.022549737318850644,0.006213146851186788,-0.036551855597390465,-0.050023263526296595,-0.14920361412654193,-0.022798887015603665,-0.033987174048049976,0.08358719981655004,-0.0593940500293749,-0.15529884340385627,-0.07055074956517639,0.022556571013270372,-0.07791513748294085
unique_bigram_ratio,-0.5245108777098461,0.9569821493606078,1.0,0.9918789287887623,0.1555929792513575,0.5348269715443045,-0.0052429593876288155,-0.9569821493606095,-0.5730376323892179,0.05342142537261596,-0.5268752663020957,-0.31008194806095396,-0.9177854774841363,-0.003605246579903607,-0.09062238702901744,-0.10050247973435648,-0.007615246079776701,0.017823910474411262,-0.05493936932663972,-0.32743572330265086,-0.0331640448206757,-0.08570914810958001,-0.03989665119453005,-0.02006898164343761,0.937355699618595,-0.10182515621672508,0.052543561575790355,0.028752663481836197,0.11772281271580794,0.08686997643391606,-0.511204959539241,-0.4949606986307706,-0.5386288359513333,-0.006854792380037401,-0.07089518825078214,-0.05459803598649351,-0.020965746067367626,0.04290785364372766,-0.007456281658290637,-0.0015898930340984057,0.0017331507595398424,-0.06814570160796293,0.05488402781073702,0.07907798274991307,0.06141995867866688,-0.015168790494331058,-0.016679923300991214,0.052927946794996863,0.0651413819732084,-0.09306575675741013,0.059352249963407995,-0.02862332100655221,0.00617203503308461,-0.17643041821704955,0.9428982955052928,-0.015016147927995351,-0.02121413119886583,-0.01023150918349325,0.019467822524455305,0.014608770410461769,-0.02338017115931623,0.01825969479207605,0.0013620514853581761,-0.015551279734034742,-0.01925522193471385,0.006428253359017442,0.008817155627870785,-0.0026967126849362687,0.01939769931263524,-0.03428340652548399,0.03213789470423511,0.004478226914161397,-0.03272652294625652,-0.049390433920639125,-0.13582804404791105,-0.024701705147742573,0.0034173419218750285,0.08192233408741326,-0.052596995063835326,-0.14110471434410674,-0.06441128427545,0.01509339423044521,-0.041393316259798904
unique_trigram_ratio,-0.5250544188695475,0.932918686940496,0.9918789287887623,1.0,0.13304242431267202,0.5209645123400569,-0.007475782445906836,-0.9329186869404978,-0.5713625879813536,0.07045865094556453,-0.5294771444260957,-0.31239401352099705,-0.9279578661566354,0.015848048129110438,-0.08722494595448695,-0.09578139612131682,-0.0028363443626183414,0.018576144735789033,-0.05683201620035741,-0.3195546975419454,-0.027257868796554688,-0.08134088794791788,-0.04103430158358709,-0.02185048612796772,0.920356014405716,-0.12517074381502874,0.05431813230532632,0.02338416268165197,0.10313861805499808,0.0784746325723478,-0.5148524636020139,-0.5007376266291244,-0.5396894841690124,-0.006268997421282777,-0.06889988396381813,-0.05660000568941334,-0.019860094622928866,0.0367774559157638,-0.004751860360205735,-0.0014593624812181364,0.0005465664123471705,-0.07450793252773309,0.0469679880918051,0.08768964633206314,0.058066643761155515,-0.02347652664519992,-0.020843728349531063,0.047398633749318124,0.05668198388365828,-0.0876980445696887,0.049545090169728974,-0.023205364562479593,0.01033398450376713,-0.159713092062497,0.920775490095141,-0.013603504877285132,-0.015987763375174564,-0.011473456279327434,0.01986628123896634,0.015064965562744663,-0.020680190809840127,0.01788993819467328,0.005120198730926754,-0.015598993102325058,-0.01863011172834449,-0.0004483908467739798,0.006018775076388378,-0.00018169324735253147,0.013899265790625703,-0.034520292949130546,0.03042180729060203,0.006675430485956848,-0.025769114089987936,-0.04955094930156523,-0.1389489364435028,-0.029341951320957543,0.008215496435399313,0.07931068674909666,-0.058218257628860966,-0.1486302038689308,-0.0690803026969397,0.020229801051951147,-0.03262175452779303
avg_token_length,-0.10150513015934369,0.23901016781455772,0.1555929792513575,0.13304242431267202,1.0,0.08215763524093213,-0.07684349600646811,-0.23901016781455878,-0.03671947455850037,0.02533765757140741,-0.009035383107345446,0.00036915180708258134,-0.08345429004550431,-0.19541137969606273,-0.019873960975582545,-0.03777266998771431,-0.007197795267611171,0.01853014865361108,0.0005935167399129052,-0.01774662435208308,-0.03494899755392656,-0.05618603316370219,-0.4322484010590879,-0.19512136033809593,0.21403764437049716,0.051283036425607706,0.0038883913009958256,0.08215896865536716,0.8283911939992467,0.4668086814226512,-0.1134710993400531,-0.002462091375758946,-0.04160987307390547,0.0045105091389421115,-0.20688550271683362,-0.1415487165713966,-0.0040102163742908765,0.06194246784886256,0.031881256844322706,-0.055219418425965464,-0.051311014681563356,-0.09175401879754985,0.24344995622983356,0.23526216792713567,0.21936306331554534,-0.1048916644047559,-0.040348622044435734,-0.025424581213327253,-0.1352374104338703,-0.09617712286503678,0.0409747357596994,0.0027177450831807597,-0.0966694163735922,0.021292253979590257,0.2515278880935771,0.04014712294558103,-0.006041701319990707,-0.03623047960602585,-0.004799153841554339,0.03840147585795617,0.021332813488009725,-0.03457843430095569,-0.02174606836775235,-0.017681532088327553,0.05385384300132823,-0.021268006395958165,0.011904274060839694,-0.008639902008280534,0.032743948603307954,-0.12092836921630523,0.0651906721843908,0.05439727506701027,0.09841001970881595,-0.0068195292843007465,-0.0233571778619227,-0.054875342518595195,0.006547669530875864,0.008110368137298955,0.001650515559445848,-0.004313825409642892,0.0021021315846650765,-0.008822848730294694,0.005046126685094378
unique_tokens_per_line,-0.22921583621516434,0.5188236448503265,0.5348269715443045,0.5209645123400569,0.08215763524093213,1.0,0.804442785093001,-0.518823644850328,-0.45268950137409547,-0.17007656432937457,-0.3250401045948707,-0.13283313561579968,-0.5043860765851657,-0.042291488479394325,-0.06205175426209808,-0.053797711863261245,0.0030335280118444553,0.016693480356853183,-0.020918388493681477,-0.083061887942184,-0.004621048171387942,-0.052086990782465786,0.03929031536953595,0.7358587322064075,0.5059635629739786,-0.04377021659525881,0.01693543294340732,0.814683767315694,0.057440188865734765,0.050336163514039266,-0.19620149073130141,-0.1834469127987162,-0.4269757974773477,-0.008490711984525393,-0.021159520584636937,-0.012674094113504782,0.012302690063895401,0.03833902258265302,-0.0038834407724346503,0.002995606014369735,0.005986776581993306,-0.025934354181992986,0.043603501926483684,-0.040919104850480975,0.02554344344487715,0.0068394190360572624,-0.011825538562377433,0.05576641838695415,0.05000988730515389,-0.06289593029026204,0.047866757337401845,-0.024522263334580865,0.0070822248133137955,-0.0036708420297763794,0.5012435894018127,-0.007584071107649776,-0.018753657842127965,-0.01258390977782248,-0.012841241349300363,-0.005996285249260402,-0.024066442734193772,0.004508793368433028,-0.03100036854748833,0.009837813646039946,0.00568139370170897,0.02960543640316945,0.0021465723545243923,0.001236613964897614,0.015428784491393854,-0.016736180658441104,0.03420784502204361,0.0013689997995304374,-0.017245511219053367,-0.006958105179659093,-0.04194319929762608,0.021592370399003562,0.09216568067053157,0.0469936474940227,-0.01758658090613694,-0.03987080283273705,-0.010411250950879934,-0.013410616527731413,-0.04740843346913845
average_tokens_per_line,0.16641321780291968,-0.05008160837692987,-0.0052429593876288155,-0.007475782445906836,-0.07684349600646811,0.804442785093001,1.0,0.050081608376929536,-0.1369197430341672,-0.14308279482305394,-0.037715676041689364,0.042430824930605016,-0.0303502836352249,-0.029820670644990468,-0.01885797806269503,0.02065704236451767,0.024376500152900233,0.013904662215239847,0.01998913452813607,0.17291191738685724,0.025741549636643955,-0.0013005539688202767,0.13414778338638259,0.9504529557378255,-0.03925652711517075,-0.029955334853030192,-0.014111414334802128,0.9664105770213176,-0.06920868045157898,-0.02732801703560017,0.17728647779942572,0.17375914450973431,-0.14204653891191849,-0.00034257903956098906,0.03150847128198472,0.026452681444244782,0.03747332389340982,-0.0004640124921116259,0.003896052030060912,0.006386150032615939,0.0011167630408068642,0.026144134060975224,0.0031704933493293436,-0.13351075966538828,-0.02597087814480044,0.021413991914796333,0.000427436307204765,0.03956970046864728,0.05072830172520876,-0.02146644612522051,0.012053593590274582,-0.0129431572486735,0.02032039010814615,0.11308234926954684,-0.06520957518607211,0.0033211465826578452,-0.014703810857730891,-0.008612568274449532,-0.03905685209497292,-0.02156061520363811,-0.018445245803682772,-0.013592552441803312,-0.047609565681681745,0.031619920543601014,0.026510494685910692,0.0380880210476746,-0.010031576134118248,0.008461038757643846,0.0014179813111651256,0.006253853435054961,0.02733371285279865,-0.006849357740331677,-0.0015167684202082048,0.03009462221907534,0.05811271492819688,0.044288026896426864,0.13345330416721637,-0.0041690211984038664,0.022837323536131507,0.0676289562248034,0.03633027357321148,-0.029302999467920355,-0.0034561553548580707
repeat_word_ratio,0.6207106677567297,-1.000000000000001,-0.9569821493606095,-0.9329186869404978,-0.23901016781455878,-0.518823644850328,0.050081608376929536,1.0,0.6342364333523081,0.09383298793472415,0.5349753856136962,0.2910319177700855,0.8597856676003485,0.041078126206960004,0.10231209236330205,0.12166741274315529,0.030774341042216012,-0.009990568441362624,0.06436855306008202,0.3685471118041821,0.05208548172213209,0.09398320520683398,0.10426652761600332,0.07955278485699326,-0.9631294747953288,0.03442290754011351,-0.04360071277878496,0.005921297666084369,-0.18046679621836298,-0.11461317991105378,0.5847307838898652,0.5623079947534342,0.5772284578917394,0.01100849945476877,0.07580809752670466,0.05411392671786453,0.028988970266982796,-0.0616253634616084,0.00872676310726312,0.0038084874858126763,-0.007172985810503772,0.07531880742583996,-0.07571412383456205,-0.10706104338613451,-0.08267736132249856,0.015522626534032778,0.017717102413964767,-0.04938047048365276,-0.029095172700171538,0.08405443681855301,-0.06559877129701018,0.02684094240505042,0.013069875460207913,0.18130989694831132,-0.9911859973417518,0.014502701063865999,0.01583884291153546,0.008233753984948071,-0.030757235539669216,-0.01837681021113449,0.015574961015234196,-0.02977828352835877,-0.01130669473394024,0.028785360118121002,0.028390632082207923,0.0030863408972584645,-0.019738958187744314,0.00869958612548289,-0.027082585046769397,0.033106918831955275,-0.02254973731885106,-0.006213146851186247,0.03655185559738947,0.050023263526295686,0.1492036141265399,0.022798887015602287,0.03398717404805023,-0.08358719981654918,0.05939405002937476,0.1552988434038525,0.0705507495651765,-0.022556571013269775,0.07791513748294052
line_count,0.8602700810315829,-0.6342364333523083,-0.5730376323892179,-0.5713625879813536,-0.03671947455850037,-0.45268950137409547,-0.1369197430341672,0.6342364333523081,1.0,0.6891882752848374,0.7133610422778282,0.27912464538257625,0.5977308640588087,0.08555547574396033,0.1918156818992691,0.16147600617602437,0.10997018652445534,0.008033935432551043,0.13204475895257817,0.4331575597976669,0.0966639850347632,0.15490943803537094,-0.06103988412521855,-0.14071314565543896,-0.5466506539674183,-0.13410316755586715,-0.10567635263396206,-0.14503442486889087,0.0020667214526980983,0.01537112338730195,0.7174560481978116,0.7194508132150125,0.8333371598340757,0.046493312296985154,-0.04709058536737048,-0.04147482602339083,0.004912203685719901,-0.045153135791624284,0.01412898945722391,-0.0020511237348018827,-0.019495279153362022,-0.005647639661755758,0.0019014667278773338,0.050165369634477396,-0.0029090291697750244,-0.03988835167908055,0.004326543681045694,-0.09021559079024111,-0.03523135438428638,0.049653413653193125,-0.05584045423979712,0.057116796553859935,-0.026685824070703124,0.1096772273527079,-0.6398632534080522,0.023291456128096254,-0.0032710858920527415,-0.024946008334361898,-0.0016061779367487709,0.0203980688125908,0.008862849699132817,-0.013853656130482457,0.02849507066640955,0.03547616451347938,0.05267724625200805,0.013261956825805981,-0.031913375695052926,0.009395492852543746,-0.06698437369389676,-0.08058313275161806,0.031629303318616714,0.009439664778779253,0.053693506102606745,0.01970281362374812,0.14653141103668207,-0.03145280418786934,0.14826137519764912,-0.07821251785670295,0.10857023533202217,0.1469526673645623,0.09081158935849247,-0.04597935514956907,0.18448936330923643
unique_line_count,0.6494243334764218,-0.09383298793472479,0.05342142537261596,0.07045865094556453,0.02533765757140741,-0.17007656432937457,-0.14308279482305394,0.09383298793472415,0.6891882752848374,1.0,0.2768024300894003,-0.03598139625237991,-0.06457509909168249,0.12757512063164156,0.15337032122854888,0.1287501846419727,0.15394312308564423,0.039513775959501535,0.126800291019981,0.2821859644499567,0.12211082773494587,0.11635537363867446,-0.07275513927965466,-0.15282058723242825,-0.018002724543931755,-0.20395090015675732,-0.06864213072043511,-0.13222661655602733,0.054082956899510204,0.063444955789448,0.48011126152999817,0.4917968415296276,0.5161504437871063,0.05062918185800813,-0.10574682340874293,-0.10473267152087676,-0.006672882225765553,-0.030994185291373686,0.021923876524425175,0.009779503464520901,-0.015756678057322938,-0.07528146693632926,0.03778419955796866,0.113187720382186,0.042759719796309485,-0.055542040587228364,-0.018889586868164793,-0.06356129939274308,0.023482097163850066,-0.0073585536473851545,-0.0306796399693558,0.04939497118499119,-0.012351163199959674,0.015857647628021027,-0.11272961915158697,0.015145622841100473,-0.023452616485646158,-0.04785001680825575,0.010199989539878536,0.01923174628896693,-0.009417778982127067,-0.0013086340298329299,0.024712599060778863,0.028722952826825292,0.03364721759469957,0.020795674157437306,-0.037382877763859214,0.02434123470483125,-0.06402689804470402,-0.1183916038177884,0.06466940659958212,0.004842691413397527,0.024492704568585637,-0.010838564784669288,0.05619061825690865,-0.06031981196172751,0.2081180598463234,-0.037542452794021915,0.08153854980706456,0.05168558980554451,0.04506082192419852,-0.04039896325314055,0.2019115384720163
